S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2022081401015156,SHIVM,37,41,15,707,10605.00
2,2022081401015155,SHIVM,33,41,25,707,17675.00
3,2022081401015154,SHIVM,42,41,10,707,7070.00
4,2022081403013333,NLIC,3,52,200,671.9,134380.00
5,2022081403013332,GUFL,45,56,20,548,10960.00
6,2022081403013331,RLFL,45,40,310,346,107260.00
7,2022081403013330,RLFL,45,14,200,345,69000.00
8,2022081403013329,RLFL,45,36,50,345,17250.00
9,2022081403013328,RLFL,45,38,200,344.5,68900.00
10,2022081403013327,RLFL,45,48,200,344,68800.00
11,2022081403013326,RLFL,45,38,15,343,5145.00
12,2022081401015153,NABIL,7,45,64,789,50496.00
13,2022081403013325,RLFL,45,28,25,342,8550.00
14,2022081405001984,TPC,59,43,10,448,4480.00
15,2022081401015152,PCBL,56,16,500,238.8,119400.00
16,2022081401015151,PCBL,56,25,200,238.7,47740.00
17,2022081401015150,PCBL,56,14,280,238.6,66808.00
18,2022081401015149,PCBL,56,10,50,238.5,11925.00
19,2022081401015148,PCBL,56,49,35,238,8330.00
20,2022081401015147,PCBL,56,3,200,238,47600.00
21,2022081401015146,PCBL,56,38,410,237,97170.00
22,2022081401015145,PCBL,56,46,317,236,74812.00
23,2022081404007945,MHNL,56,34,10,289,2890.00
24,2022081404007944,MHNL,56,44,100,284.6,28460.00
25,2022081401015144,NCCB,56,21,100,206.9,20690.00
26,2022081404007943,SPDL,48,38,11,330,3630.00
27,2022081404007942,SPDL,48,28,100,328,32800.00
28,2022081404007941,SPDL,48,45,200,328,65600.00
29,2022081404007940,SPDL,48,52,420,327,137340.00
30,2022081403013324,CHDC,50,33,20,756,15120.00
31,2022081404007939,SPDL,48,44,69,325,22425.00
32,2022081401015143,SBL,29,40,300,304,91200.00
33,2022081404007938,BARUN,53,14,230,277,63710.00
34,2022081401015142,HHL,28,14,10,316,3160.00
35,2022081404007937,BARUN,28,14,20,277,5540.00
36,2022081404007936,IGI,58,51,90,420,37800.00
37,2022081404007935,IGI,58,51,20,419,8380.00
38,2022081404007934,IGI,58,1,190,419,79610.00
39,2022081403013323,ICFC,58,45,11,495,5445.00
40,2022081401015141,HHL,28,58,10,316,3160.00
41,2022081404007933,HPPL,34,36,960,387.6,372096.00
42,2022081404007932,HPPL,34,42,100,387.5,38750.00
43,2022081404007931,HPPL,34,35,200,386.5,77300.00
44,2022081404007930,HPPL,34,51,290,386.5,112085.00
45,2022081404007929,HPPL,34,58,10,385,3850.00
46,2022081404007928,HPPL,34,55,150,382.5,57375.00
47,2022081404007927,HPPL,34,54,200,382.5,76500.00
48,2022081404007926,HPPL,34,13,30,382.5,11475.00
49,2022081404007925,HPPL,34,1,200,382,76400.00
50,2022081404007924,HPPL,34,52,250,381,95250.00
51,2022081404007923,HPPL,34,49,100,380,38000.00
52,2022081404007922,HPPL,34,43,210,380,79800.00
53,2022081404007921,HPPL,34,34,300,380,114000.00
54,2022081401015140,GVL,51,58,10,365.4,3654.00
55,2022081401015139,GVL,51,49,10,360.1,3601.00
56,2022081405001983,MLBS,18,46,10,1217,12170.00
57,2022081405001982,SPC,49,26,420,537.9,225918.00
58,2022081405001981,SPC,49,41,10,537,5370.00
59,2022081405001980,SPC,49,14,10,536,5360.00
60,2022081405001979,SPC,49,16,500,535,267500.00
61,2022081405001978,SPC,49,49,10,535,5350.00
62,2022081405001977,SPC,49,42,10,534.9,5349.00
63,2022081405001976,SPC,49,59,10,533.9,5339.00
64,2022081405001975,SPC,49,50,10,532,5320.00
65,2022081405001974,SPC,49,45,10,531,5310.00
66,2022081405001973,SPC,49,41,10,525,5250.00
67,2022081405001972,MBJC,42,42,10,239.1,2391.00
68,2022081403013322,NLIC,33,41,262,671,175802.00
69,2022081404007920,SSHL,59,32,306,228,69768.00
70,2022081404007919,SSHL,52,32,114,228,25992.00
71,2022081401015138,NBL,3,42,30,283.5,8505.00
72,2022081404007918,HPPL,16,54,100,376,37600.00
73,2022081403013321,FOWAD,33,57,40,2638,105520.00
74,2022081403013320,FOWAD,52,57,10,2638,26380.00
75,2022081404007917,UNHPL,36,58,80,236,18880.00
76,2022081403013319,RLFL,58,45,80,341.1,27288.00
77,2022081403013318,ICFC,58,45,200,495,99000.00
78,2022081403013317,ICFC,33,45,41,495,20295.00
79,2022081404007916,HEI,48,37,10,424,4240.00
80,2022081404007915,SHL,33,1,100,210.9,21090.00
81,2022081404007914,NHDL,34,49,20,398.7,7974.00
82,2022081404007913,NHPC,54,17,100,246,24600.00
83,2022081404007912,SHPC,5,57,300,316,94800.00
84,2022081404007911,UNHPL,28,58,10,236,2360.00
85,2022081401015137,HDL,39,42,100,3526,352600.00
86,2022081403013316,SWBBL,44,43,22,1313,28886.00
87,2022081404007910,NICL,28,16,55,463,25465.00
88,2022081404007909,NICL,34,16,500,463,231500.00
89,2022081404007908,NICL,36,16,150,463,69450.00
90,2022081404007907,NICL,49,16,50,463.2,23160.00
91,2022081401015136,DORDI,50,6,100,349.5,34950.00
92,2022081404007906,NICL,49,16,215,463.6,99674.00
93,2022081403013315,NRN,16,45,45,488,21960.00
94,2022081404007905,NICL,19,16,30,464,13920.00
95,2022081401015135,NCCB,8,21,20,206.9,4138.00
96,2022081401015134,NCCB,8,42,40,206,8240.00
97,2022081404007904,NLG,33,55,20,501,10020.00
98,2022081404007903,UMRH,38,1,50,642.5,32125.00
99,2022081401015133,BHDC,45,45,200,459.2,91840.00
100,2022081403013314,NTC,7,10,34,860,29240.00
101,2022081403013313,NTC,51,10,19,860,16340.00
102,2022081403013312,NTC,34,10,50,861.2,43060.00
103,2022081403013311,NTC,52,10,50,862,43100.00
104,2022081403013310,NTC,41,10,25,862.1,21552.50
105,2022081403013309,NTC,58,10,25,862.5,21562.50
106,2022081404007902,UPCL,19,10,200,248.5,49700.00
107,2022081403013308,NTC,34,10,297,862.6,256192.20
108,2022081404007901,UPCL,4,10,370,248.9,92093.00
109,2022081403013307,CFCL,50,14,10,320,3200.00
110,2022081401015132,BHL,50,57,10,330,3300.00
111,2022081404007900,NHPC,14,57,10,248,2480.00
112,2022081403013306,NICLBSL,49,48,20,856,17120.00
113,2022081403013305,JBBL,19,48,173,297.5,51467.50
114,2022081403013304,JBBL,45,48,498,297.5,148155.00
115,2022081403013303,JBBL,D01,48,27,297.8,8040.60
116,2022081403013302,CIT,48,7,10,2107,21070.00
117,2022081403013301,NABBC,58,29,19,460,8740.00
118,2022081403013300,NABBC,58,44,100,451,45100.00
119,2022081403013299,NABBC,58,13,10,450,4500.00
120,2022081403013298,NABBC,58,13,10,450,4500.00
121,2022081403013297,NABBC,58,13,10,450,4500.00
122,2022081403013296,NABBC,58,3,61,450,27450.00
123,2022081403013295,ICFC,33,33,15,495,7425.00
124,2022081401015131,SHIVM,34,45,10,708,7080.00
125,2022081401015130,SHIVM,35,45,10,708,7080.00
126,2022081401015129,SBI,5,52,50,284.8,14240.00
127,2022081401015128,SBI,5,35,200,283,56600.00
128,2022081401015127,GVL,29,49,90,360.1,32409.00
129,2022081404007899,SHL,41,38,66,207,13662.00
130,2022081403013294,NFS,58,44,15,292,4380.00
131,2022081401015126,HBL,13,22,99,313.6,31046.40
132,2022081403013293,MLBL,16,14,950,384.9,365655.00
133,2022081403013292,MLBL,16,6,50,384,19200.00
134,2022081404007898,RADHI,22,10,150,561,84150.00
135,2022081404007897,RADHI,57,10,50,561.1,28055.00
136,2022081403013281,CIT,10,54,88,2101,184888.00
137,2022081401015123,EBL,5,59,19,496.2,9427.80
138,2022081403013280,CIT,13,54,10,2102,21020.00
139,2022081403013279,CIT,49,54,10,2103,21030.00
140,2022081401015122,EBL,34,59,60,496.2,29772.00
141,2022081403013278,CIT,21,54,20,2103,42060.00
142,2022081401015121,EBL,53,59,11,497,5467.00
143,2022081403013277,MLBSL,6,54,20,3872,77440.00
144,2022081403013276,MLBSL,34,54,20,3872.1,77442.00
145,2022081403013275,MLBSL,45,54,10,3873,38730.00
146,2022081401015120,NABIL,49,45,50,789.1,39455.00
147,2022081401015119,NESDO,6,49,10,3202,32020.00
148,2022081404007896,UMHL,45,49,20,279,5580.00
149,2022081403013274,GFCL,3,57,45,525,23625.00
150,2022081403013273,GFCL,3,46,30,525,15750.00
151,2022081403013272,GFCL,3,21,100,524.9,52490.00
152,2022081403013271,GFCL,3,58,25,520,13000.00
153,2022081403013270,GFCL,3,46,100,520,52000.00
154,2022081403013269,NLIC,22,52,100,671.9,67190.00
155,2022081401015118,HDL,57,42,10,3529,35290.00
156,2022081403013268,CIT,45,7,10,2107,21070.00
157,2022081404007895,UMHL,45,21,10,279,2790.00
158,2022081401015125,GVL,48,52,10,365,3650.00
159,2022081405001971,MKJC,34,58,10,475,4750.00
160,2022081403013291,CHDC,57,33,10,756,7560.00
161,2022081403013290,CHDC,59,33,10,756,7560.00
162,2022081403013289,HIDCL,58,34,40,201.9,8076.00
163,2022081403013288,HIDCL,57,34,1372,201.9,277006.80
164,2022081401015124,PRVU,13,10,10,206,2060.00
165,2022081403013287,MFIL,58,13,300,425,127500.00
166,2022081403013286,SFCL,29,45,10,279,2790.00
167,2022081403013285,SFCL,29,48,210,279,58590.00
168,2022081403013284,CIT,35,54,52,2101,109252.00
169,2022081403013283,CIT,29,54,10,2101,21010.00
170,2022081403013282,CIT,45,54,10,2101,21010.00
171,2022081404007894,API,14,21,10,253.5,2535.00
172,2022081401015117,ULBSL,36,48,10,3680,36800.00
173,2022081401015116,ULBSL,59,48,50,3680,184000.00
174,2022081401015115,ULBSL,48,48,10,3680,36800.00
175,2022081401015114,ULBSL,20,48,20,3682,73640.00
176,2022081403013267,SLBBL,54,51,20,945,18900.00
177,2022081403013266,ILBS,39,19,10,975,9750.00
178,2022081401015113,SHIVM,19,45,20,708,14160.00
179,2022081403013265,MLBL,39,17,100,383,38300.00
180,2022081403013264,SFCL,22,59,100,278.4,27840.00
181,2022081401015112,HBL,13,49,10,313.6,3136.00
182,2022081405001970,TPC,56,49,1000,450,450000.00
183,2022081403013263,LBBL,32,21,10,379,3790.00
184,2022081401015111,PRVU,22,10,30,206,6180.00
185,2022081401015110,BHDC,45,55,10,459.2,4592.00
186,2022081403013262,KSBBL,45,34,200,338,67600.00
187,2022081404007893,NICBF,43,6,200,10.74,2148.00
188,2022081403013261,SINDU,21,48,10,280,2800.00
189,2022081404007892,AHPC,47,56,163,345,56235.00
190,2022081404007891,AHPC,55,56,212,345,73140.00
191,2022081404007890,AHPC,1,56,25,345.1,8627.50
192,2022081404007889,AHPC,29,56,50,345.1,17255.00
193,2022081404007888,AHPC,34,56,50,346,17300.00
194,2022081403013260,SABSL,34,16,15,1075,16125.00
195,2022081403013259,SABSL,34,25,35,1075,37625.00
196,2022081401015109,NABIL,7,25,48,789,37872.00
197,2022081404007887,HDHPC,56,45,100,218.9,21890.00
198,2022081403013258,SWBBL,56,58,11,1312,14432.00
199,2022081403013257,NTC,34,50,203,862.6,175107.80
200,2022081401015108,HHL,28,58,10,316,3160.00
201,2022081401015107,DORDI,34,26,40,350,14000.00
202,2022081401015106,DORDI,34,58,10,350,3500.00
203,2022081401015105,DORDI,34,1,10,350,3500.00
204,2022081401015104,DORDI,34,4,10,350,3500.00
205,2022081401015103,DORDI,34,7,10,350,3500.00
206,2022081401015102,DORDI,34,58,10,350,3500.00
207,2022081401015101,DORDI,34,58,10,350,3500.00
208,2022081401015100,DORDI,34,6,10,350,3500.00
209,2022081401015099,DORDI,34,7,10,350,3500.00
210,2022081401015098,DORDI,34,14,100,350,35000.00
211,2022081403013256,SHINE,4,44,10,309,3090.00
212,2022081403013255,LBBL,28,21,10,379,3790.00
213,2022081403013254,SIFC,16,57,10,335,3350.00
214,2022081403013253,GMFIL,52,57,200,351,70200.00
215,2022081403013252,GMFIL,28,57,300,351.1,105330.00
216,2022081401015097,PRVU,49,36,30,205.2,6156.00
217,2022081404007886,UMHL,14,21,500,279,139500.00
218,2022081401015096,NBF3,28,58,155,8.12,1258.60
219,2022081403013251,MMFDB,45,19,30,1030,30900.00
220,2022081403013250,MMFDB,33,19,20,1034,20680.00
221,2022081403013249,MMFDB,59,19,40,1034.1,41364.00
222,2022081403013248,MMFDB,22,19,10,1035,10350.00
223,2022081404007885,API,45,21,200,253.5,50700.00
224,2022081403013247,SLBSL,43,42,10,1434.9,14349.00
225,2022081403013246,CHDC,56,53,10,760,7600.00
226,2022081403013245,CHDC,56,58,10,759,7590.00
227,2022081404007884,NMBHF1,34,58,116,11.8,1368.80
228,2022081404007883,NMBHF1,41,58,300,11.8,3540.00
229,2022081401015095,HHL,28,34,10,316,3160.00
230,2022081404007882,NGPL,57,51,10,272.1,2721.00
231,2022081404007881,NGPL,57,19,40,272.1,10884.00
232,2022081404007880,UMHL,14,59,70,278,19460.00
233,2022081403013244,SFCL,22,29,100,278.4,27840.00
234,2022081404007879,SHPC,25,28,131,315,41265.00
235,2022081403013243,BFC,8,52,10,386,3860.00
236,2022081404007878,PPCL,45,19,100,336,33600.00
237,2022081401015094,NABIL,5,48,10,789,7890.00
238,2022081401015093,GVL,29,58,10,360.1,3601.00
239,2022081404007877,AHPC,34,34,10,347,3470.00
240,2022081401015092,SANIMA,13,52,245,253,61985.00
241,2022081401015091,SANIMA,49,52,40,253,10120.00
242,2022081401015090,SANIMA,26,52,100,253,25300.00
243,2022081401015089,SANIMA,47,52,200,253,50600.00
244,2022081401015088,SANIMA,14,52,100,253,25300.00
245,2022081401015087,SANIMA,57,52,50,253,12650.00
246,2022081401015086,SANIMA,58,52,100,253,25300.00
247,2022081401015085,SANIMA,14,52,200,253,50600.00
248,2022081401015084,SANIMA,6,52,165,253,41745.00
249,2022081401015083,NICA,44,29,20,660.5,13210.00
250,2022081404007876,NHPC,47,57,405,248,100440.00
251,2022081404007875,NHPC,47,7,11,248,2728.00
252,2022081404007874,NHPC,47,16,500,248,124000.00
253,2022081403013242,MSLB,10,44,10,1189,11890.00
254,2022081404007873,NHPC,47,38,200,248,49600.00
255,2022081404007872,NHPC,47,19,600,247.8,148680.00
256,2022081404007871,NHPC,47,57,160,247,39520.00
257,2022081404007870,NHPC,47,32,43,247,10621.00
258,2022081404007869,NHPC,47,33,81,247,20007.00
259,2022081404007868,GHL,56,26,500,219,109500.00
260,2022081404007867,BPCL,33,19,40,318.9,12756.00
261,2022081404007866,BPCL,33,41,60,318.9,19134.00
262,2022081404007865,SHEL,33,55,100,284,28400.00
263,2022081401015082,ADBL,14,13,343,317.1,108765.30
264,2022081401015081,ADBL,36,13,100,317.1,31710.00
265,2022081401015080,ADBL,56,13,300,317.1,95130.00
266,2022081401015079,ADBL,56,13,300,317.1,95130.00
267,2022081401015078,ADBL,51,13,46,317.1,14586.60
268,2022081401015077,ADBL,26,13,100,317.3,31730.00
269,2022081401015076,ADBL,36,13,100,317.5,31750.00
270,2022081401015075,ADBL,51,13,15,317.5,4762.50
271,2022081403013241,RLFL,52,28,75,342,25650.00
272,2022081403013240,RLFL,52,45,25,341.2,8530.00
273,2022081401015074,NESDO,59,34,10,3214,32140.00
274,2022081404007864,NHPC,54,38,257,246,63222.00
275,2022081401015073,NICA,5,29,100,660.5,66050.00
276,2022081405001969,TPC,29,49,40,450.8,18032.00
277,2022081404007863,UMRH,38,55,10,649.1,6491.00
278,2022081401015072,BHDC,45,16,10,459.2,4592.00
279,2022081403013239,NMFBS,20,36,100,2301,230100.00
280,2022081405001968,SAHAS,44,57,10,525,5250.00
281,2022081403013238,HIDCL,45,56,51,202,10302.00
282,2022081403013237,HIDCL,45,28,1449,202,292698.00
283,2022081403013236,NTC,21,59,38,864,32832.00
284,2022081403013235,NFS,58,14,50,292,14600.00
285,2022081403013234,NFS,55,14,50,292,14600.00
286,2022081403013233,ICFC,33,50,140,495,69300.00
287,2022081403013232,ICFC,33,47,200,495,99000.00
288,2022081403013231,ICFC,33,41,279,495,138105.00
289,2022081403013230,NFS,55,51,200,292,58400.00
290,2022081403013229,MLBL,39,8,100,383,38300.00
291,2022081403013228,MLBL,39,45,92,383,35236.00
292,2022081403013227,MLBL,39,57,100,383,38300.00
293,2022081404007862,PPCL,59,19,138,336,46368.00
294,2022081404007861,PPCL,5,19,100,336,33600.00
295,2022081404007860,PPCL,38,19,25,336,8400.00
296,2022081404007859,NHPC,17,17,40,245.2,9808.00
297,2022081404007858,UPCL,4,32,330,248.9,82137.00
298,2022081404007857,UPCL,49,32,670,249.8,167366.00
299,2022081404007856,CHCL,36,38,100,393,39300.00
300,2022081403013226,SINDU,19,16,10,276,2760.00
301,2022081404007855,LEC,49,36,10,255.3,2553.00
302,2022081401015071,ADBL,34,45,25,317.9,7947.50
303,2022081404007854,RADHI,43,44,10,564.9,5649.00
304,2022081404007853,API,46,21,88,253.5,22308.00
305,2022081403013225,CORBL,29,43,10,310,3100.00
306,2022081403013224,SWMF,28,57,10,795,7950.00
307,2022081401015070,MBL,44,42,20,230.8,4616.00
308,2022081401015069,NBF3,28,32,285,8.12,2314.20
309,2022081401015068,NBF3,28,32,515,8.12,4181.80
310,2022081401015067,NBF3,59,32,100,8.12,812.00
311,2022081401015066,SHIVM,36,45,80,708,56640.00
312,2022081401015065,SHIVM,36,58,20,708,14160.00
313,2022081404007852,UIC,45,57,100,384.1,38410.00
314,2022081404007851,NGPL,57,57,75,272.1,20407.50
315,2022081404007850,NGPL,45,57,25,272.1,6802.50
316,2022081405001967,JBLB,39,43,10,2724,27240.00
317,2022081404007849,STC,34,35,20,4020,80400.00
318,2022081404007848,STC,7,35,20,4020,80400.00
319,2022081403013223,HIDCL,59,28,19,202,3838.00
320,2022081401015064,SANIMA,6,5,35,253,8855.00
321,2022081401015063,SANIMA,57,5,100,253,25300.00
322,2022081404007847,SHPC,5,28,10,315,3150.00
323,2022081401015062,SANIMA,45,5,15,253,3795.00
324,2022081403013222,PFL,34,42,100,376,37600.00
325,2022081403013221,EDBL,33,44,1000,332.3,332300.00
326,2022081403013220,EDBL,38,44,50,333,16650.00
327,2022081403013219,EDBL,45,44,15,333,4995.00
328,2022081403013218,EDBL,44,44,100,333,33300.00
329,2022081401015061,RBCLPO,44,38,10,11550,115500.00
330,2022081401015060,RBCLPO,44,32,10,11299,112990.00
331,2022081403013217,EDBL,19,44,200,339,67800.00
332,2022081403013216,LBBL,25,21,10,379,3790.00
333,2022081403013215,LICN,25,34,10,1390,13900.00
334,2022081403013214,LICN,25,5,20,1384,27680.00
335,2022081403013213,HIDCL,57,16,42,201.9,8479.80
336,2022081401015059,SBL,16,1,80,304.9,24392.00
337,2022081403013212,HIDCL,13,16,33,201.9,6662.70
338,2022081403013211,MNBBL,59,48,425,437,185725.00
339,2022081403013210,MNBBL,48,48,100,437,43700.00
340,2022081403013209,MNBBL,49,48,100,437,43700.00
341,2022081403013208,MNBBL,1,48,25,437,10925.00
342,2022081403013207,MNBBL,41,48,10,437,4370.00
343,2022081403013206,MNBBL,22,48,100,438,43800.00
344,2022081403013205,MNBBL,34,48,10,438,4380.00
345,2022081403013204,MNBBL,35,48,80,438,35040.00
346,2022081401015058,SHIVM,58,58,60,708,42480.00
347,2022081403013203,MDB,38,19,44,367.1,16152.40
348,2022081404007846,UMRH,59,55,10,649.1,6491.00
349,2022081405001966,MLBS,18,21,10,1216,12160.00
350,2022081403013202,JBBL,D01,58,1973,297.8,587559.40
351,2022081401015057,CZBIL,38,18,500,199.7,99850.00
352,2022081404007845,CHCL,6,52,10,395,3950.00
353,2022081404007844,RHPL,10,10,500,259,129500.00
354,2022081404007843,RHPL,10,57,190,259,49210.00
355,2022081404007842,RHPL,10,6,70,259,18130.00
356,2022081404007841,RHPL,10,45,10,257.9,2579.00
357,2022081403013201,SKBBL,25,47,11,1070,11770.00
358,2022081404007840,API,46,21,16,253.5,4056.00
359,2022081404007839,IGI,58,7,100,418.5,41850.00
360,2022081403013200,FMDBL,35,33,50,691,34550.00
361,2022081401015056,HDL,54,26,30,3526,105780.00
362,2022081404007838,UNHPL,38,58,110,236,25960.00
363,2022081404007837,UNHPL,38,59,490,236,115640.00
364,2022081403013199,NIFRA,42,6,12,229.9,2758.80
365,2022081404007836,AKPL,8,49,95,430,40850.00
366,2022081404007835,AKPL,8,14,390,430,167700.00
367,2022081404007834,AKPL,8,40,15,429.9,6448.50
368,2022081403013198,FOWAD,52,55,10,2638,26380.00
369,2022081403013197,FOWAD,22,55,10,2638,26380.00
370,2022081403013196,KMCDB,53,14,10,1070,10700.00
371,2022081401015055,SANIMA,45,43,235,253,59455.00
372,2022081401015054,SANIMA,8,43,87,253,22011.00
373,2022081401015053,SANIMA,42,43,50,253,12650.00
374,2022081403013195,GUFL,17,21,30,544,16320.00
375,2022081401015052,SANIMA,33,43,200,253,50600.00
376,2022081401015051,SANIMA,52,43,200,253.1,50620.00
377,2022081401015050,SANIMA,58,43,100,253.1,25310.00
378,2022081401015049,SANIMA,11,43,100,253.1,25310.00
379,2022081401015048,SANIMA,41,43,14,253.2,3544.80
380,2022081401015047,SANIMA,56,43,14,253.2,3544.80
381,2022081403013194,SWBBL,34,58,20,1312,26240.00
382,2022081404007833,HDHPC,29,33,260,218,56680.00
383,2022081404007832,HDHPC,54,33,120,218.1,26172.00
384,2022081404007831,HDHPC,19,33,20,218.6,4372.00
385,2022081404007830,HDHPC,47,33,50,218.6,10930.00
386,2022081404007829,HDHPC,28,33,50,218.9,10945.00
387,2022081403013193,NIFRA,42,17,10,229.9,2299.00
388,2022081404007828,CHL,49,7,20,263,5260.00
389,2022081404007827,SHPC,5,28,620,315,195300.00
390,2022081404007826,SHPC,5,28,239,315.9,75500.10
391,2022081401015046,PCBL,41,46,14,236,3304.00
392,2022081404007825,UMHL,45,38,490,279,136710.00
393,2022081403013192,EDBL,19,26,200,339,67800.00
394,2022081404007824,API,34,56,103,252,25956.00
395,2022081404007823,API,51,56,285,252,71820.00
396,2022081404007822,API,38,56,112,253,28336.00
397,2022081403013191,MPFL,34,57,50,282,14100.00
398,2022081404007821,UPCL,34,7,200,249.9,49980.00
399,2022081403013190,MPFL,34,20,10,281.1,2811.00
400,2022081404007820,KKHC,34,47,129,215,27735.00
401,2022081403013189,MLBBL,58,33,30,1205,36150.00
402,2022081404007819,UPPER,29,35,30,470,14100.00
403,2022081401015045,HHL,28,57,10,316,3160.00
404,2022081401015044,LBL,19,55,26,198,5148.00
405,2022081401015043,LBL,26,55,200,198,39600.00
406,2022081401015042,LBL,22,55,36,198,7128.00
407,2022081401015041,LBL,59,55,10,198,1980.00
408,2022081401015040,LBL,43,55,70,198,13860.00
409,2022081401015039,LBL,16,55,100,198,19800.00
410,2022081401015038,LBL,57,55,25,198,4950.00
411,2022081401015037,LBL,11,55,100,198,19800.00
412,2022081401015036,LBL,28,55,11,198,2178.00
413,2022081401015035,LBL,39,55,25,198,4950.00
414,2022081401015034,LBL,16,55,500,198,99000.00
415,2022081401015033,LBL,10,55,50,198,9900.00
416,2022081401015032,LBL,49,55,675,198,133650.00
417,2022081401015031,LBL,39,55,100,198.1,19810.00
418,2022081401015030,LBL,49,55,50,198.5,9925.00
419,2022081401015029,DORDI,47,49,10,350,3500.00
420,2022081403013188,MPFL,43,20,140,281.1,39354.00
421,2022081404007818,HPPL,56,14,40,375,15000.00
422,2022081404007817,AKJCL,29,50,100,208.5,20850.00
423,2022081403013187,NLIC,33,58,41,671,27511.00
424,2022081403013186,NLIC,33,34,76,670.2,50935.20
425,2022081403013185,MPFL,55,20,50,281.1,14055.00
426,2022081404007816,API,38,44,88,253,22264.00
427,2022081403013184,GLBSL,38,32,10,1074,10740.00
428,2022081403013183,ALICL,1,16,10,585,5850.00
429,2022081403013182,ALICL,3,16,188,585,109980.00
430,2022081403013181,ALICL,32,16,70,585.5,40985.00
431,2022081404007815,HURJA,57,26,10,257,2570.00
432,2022081403013180,FOWAD,39,45,30,2640,79200.00
433,2022081403013179,SINDU,54,48,10,280,2800.00
434,2022081403013178,NIFRA,42,52,30,229.9,6897.00
435,2022081401015028,KBL,38,17,10,201.4,2014.00
436,2022081404007814,NMBHF1,22,51,100,11.82,1182.00
437,2022081401015027,HHL,58,16,10,316.1,3161.00
438,2022081403013177,RLFL,6,45,75,341.2,25590.00
439,2022081404007813,NHPC,56,38,243,246,59778.00
440,2022081404007812,NHPC,56,42,757,246,186222.00
441,2022081403013176,ICFC,58,41,11,495,5445.00
442,2022081404007811,GLH,55,58,10,306,3060.00
443,2022081401015026,HHL,58,58,10,316.1,3161.00
444,2022081404007810,PICL,44,19,10,384.2,3842.00
445,2022081401015025,BHDC,45,52,10,459.2,4592.00
446,2022081401015024,HDL,35,54,4,3525,14100.00
447,2022081401015023,HDL,35,18,16,3525,56400.00
448,2022081405001965,MLBS,18,51,25,1210,30250.00
449,2022081401015022,HDL,21,18,10,3525,35250.00
450,2022081404007809,SPDL,17,44,10,325,3250.00
451,2022081404007808,UPCL,4,20,300,248.9,74670.00
452,2022081403013175,LBBL,36,21,10,379,3790.00
453,2022081405001964,JALPA,46,25,10,3150,31500.00
454,2022081404007807,IGI,58,16,13,418.4,5439.20
455,2022081404007806,IGI,58,4,190,418.3,79477.00
456,2022081404007805,IGI,58,48,18,418.3,7529.40
457,2022081401015021,HHL,58,58,10,316.1,3161.00
458,2022081404007804,SSHL,52,19,86,228,19608.00
459,2022081404007803,SSHL,40,19,10,228,2280.00
460,2022081404007802,SSHL,16,19,54,228,12312.00
461,2022081401015020,NESDO,59,34,10,3214,32140.00
462,2022081403013174,MLBL,29,17,16,382,6112.00
463,2022081404007801,SHPC,5,6,261,315.9,82449.90
464,2022081404007800,HDHPC,32,49,35,219,7665.00
465,2022081405001963,JALPA,34,3,10,3138,31380.00
466,2022081405001962,SPC,28,35,80,524,41920.00
467,2022081405001961,SPC,19,35,80,525,42000.00
468,2022081401015019,NESDO,56,19,10,3202,32020.00
469,2022081404007799,RHPL,38,59,100,255,25500.00
470,2022081403013173,CBBL,43,5,20,1011,20220.00
471,2022081403013172,CBBL,38,5,20,1011,20220.00
472,2022081403013171,CBBL,58,5,60,1012,60720.00
473,2022081405001960,TPC,34,49,255,450.8,114954.00
474,2022081403013170,SLBSL,56,43,10,1413.7,14137.00
475,2022081403013169,FOWAD,14,45,50,2640,132000.00
476,2022081403013168,FOWAD,14,59,30,2640,79200.00
477,2022081403013167,FOWAD,14,49,20,2640,52800.00
478,2022081403013166,MFIL,58,50,46,425,19550.00
479,2022081403013165,CIT,58,48,400,2106,842400.00
480,2022081403013164,CIT,58,19,79,2105,166295.00
481,2022081403013163,CIT,58,14,10,2103,21030.00
482,2022081405001959,MBJC,42,13,10,239.1,2391.00
483,2022081403013162,PFL,34,33,40,376,15040.00
484,2022081403013161,RLFL,52,38,85,343,29155.00
485,2022081403013160,RLFL,52,16,15,342,5130.00
486,2022081403013159,NIFRA,32,59,50,229,11450.00
487,2022081405001958,TPC,34,55,150,450.8,67620.00
488,2022081405001957,TPC,22,55,50,451,22550.00
489,2022081401015018,PRVU,32,10,30,206,6180.00
490,2022081401015017,PRVU,26,10,23,206,4738.00
491,2022081404007798,UPCL,14,7,100,249.9,24990.00
492,2022081403013158,SFCL,14,48,100,279,27900.00
493,2022081403013157,SFCL,6,48,300,279,83700.00
494,2022081403013156,NIFRA,10,34,100,229.2,22920.00
495,2022081401015016,SHIVM,35,58,10,708,7080.00
496,2022081403013155,GBBL,34,17,10,388,3880.00
497,2022081403013154,NLIC,49,34,64,670.2,42892.80
498,2022081404007797,RADHI,42,45,100,564,56400.00
499,2022081403013153,LBBL,3,47,100,376,37600.00
500,2022081403013152,LBBL,55,47,10,376,3760.00
501,2022081403013151,LBBL,25,47,500,376,188000.00
502,2022081403013150,LBBL,49,47,500,376,188000.00
503,2022081403013149,LBBL,45,47,200,376,75200.00
